SMILES,tb_score,sa_score,sc_score,smiles
N1(CCC=C(C1)\C=N\OC)C(OCC)=O,0.6499966720085197,3.007956195726993,2.703177873583837,28
c1([C@@]2(C[C@@H](c3ccccc3)O[N@@]2C)Cn2ccnc2)cccs1,0.6283121063774492,3.6513192025856736,3.4069451665855497,50
c1(cccc(c1)[N+]([O-])=O)[C@@H]1C(=C(NC(=C1C(OCC)=O)C)C)C(OCCC[N@@]1[C@@H](Cc2ccc(Cl)cc2)CCC1)=O,0.6,3.4004282254331435,4.0448929147696715,95
c12c(cc(C=3[C@@H](CC(=O)NN3)C)cc2)ncnc1NC,0.6490360925332112,3.1362180565941973,4.223088765564435,41
C([C@H](NC([C@@H](NC([C@H](Cc1ccccc1)NS(N(C)C)(=O)=O)=O)CC=C)=O)[C@H](CC(NC[C@@H](CC)C)=O)O)C1CCCCC1,0.5836200139953706,4.160419624589589,4.441109267378164,100
n1(c2ccccc2)c(n([nH]c1=O)C(C)=O)=O,1.0,2.4378019718518282,2.5140055271676056,34
N([C@@H](\C=C\CCC(O)=O)C(O)=O)C([C@H](C)N)=O,0.6399562199525022,3.4411599974663822,3.5601091629945536,44
c12c(c3c(ccc(c3[nH]2)OCC(F)(F)F)C)CCO[C@]1(CC(O)=O)CC,0.6,3.4942894401229987,3.9630046319008527,53
c12[C@@](OCCc1c1ccc(c(c1[nH]2)O[C@@H](C(F)(F)F)C)Cl)(CC(O)=O)CC,0.6079258456215639,3.9145593956648255,4.139997149942737,63
c12c(NC[C@@H](C1)CCc1cc(c(C(N[C@@H](CCC(O)=O)C(O)=O)=O)cc1)Cl)nc(N)nc2O,0.6326993594148856,3.5807179813497747,4.942333733494658,71
n1([C@H]2[C@@H]3C[N@](C)[C@H](C2)CC3)c(c2c(cc(N)c(c2)Cl)nn1)=O,0.5408206056085386,4.516120715237812,4.391588103949867,62
C12[C@]3(CN(CC1)CC2)C[S@@]([C@@H](O3)C)=O,0.3357189151141987,5.873806920369747,2.9114646990704034,41
n1([C@@H]2C[C@@H]([C@H]2O)CO)cnc2c1ncnc2N,0.6313707756743451,3.6028611852177352,4.057434998234445,41
c1([C@@H](CN2CCC(COCc3ccccc3)CC2)O)ccc(F)cc1,0.76,2.4104695863373067,2.8623147944397638,44
C=12[C@@H]3[C@@H](CC[C@@H]3NC(N2)=N)C[C@@H](C1CCCC)C,0.5042216593522687,4.781657151452646,4.369250208326943,52
c12c(c3ccccc3[nH]2)nc2ccccc2c1Nc1c(cc(NS(C)(=O)=O)cc1)OC,0.6799999999999999,2.386276218727721,4.4577298127018095,56
c12c3c(N4[C@@H](CCC4)CO3)c(F)cc2c(=O)c(cn1C1CC1)C(O)=O,0.6799999999999999,3.186665515887209,4.118977979144086,54
c1(C2=C[C@@H](CNC2)C)nc(no1)N(C)C,0.6051826800142035,3.944999925987012,3.8961675564978737,33
c12c(nc([nH]1)[S@@](Cc1c(c(ncn1)OCC)C)=O)csc2,0.6311509029811521,3.6065074605822987,4.173950622021016,45
c12[C@@H](c3ccccc3)C[N@@](C)CCc1c(Br)c(s2)CO,0.6467993728544417,3.2483864776468288,3.535765064845352,44
c1([C@@]2(C(CCCCC2)=O)C(NC)=S)cccnc1,0.6455177952621143,3.294106732205392,3.0893357681954217,36
c1(c(n(c(=O)c2c1cccc2)C(C)C)\C=C\[C@@H]1C[C@@H](CC(O1)=O)O)c1ccc(F)cc1,0.6410417471055329,3.4164949369277657,4.53140105361412,70
c12[C@]34CCCC[C@@H]3CC(N4CCn2ccc1)=O,0.5598283997149043,4.366283082371755,3.6184403515044177,36
c12c(c(c(C(O)=O)cn1C1CC1)=O)c(c(F)c(c2F)N1CCN(C)CC1)C,0.65,2.6816722210582533,4.574768421686112,53
C1([C@@H]([C@@]2(C[C@@H]1CC2)C)[NH2+]N)(C)C,0.3616431006497439,5.707168479012242,2.8117760945163406,43
c12c(c(nc(c1cc(OC)c(c2)OC)C)N(C)C)NC(NCCCC)=O,0.65,2.4741783518688614,3.8607655286096687,45
c12c(c(ccc2)O)NCC[C@@H]1CCCCCCC,0.6,2.9155054791597936,3.6372585267954265,31
c1([C@@H]2[C@@H]3C[N@@](C2)CC3)nc(ncc1)Cl,0.5725300040577987,4.2595075499814845,3.319472226991472,41
ClCC(=O)N([C@@H]1CCOC1=O)c1c(cccc1C)C,0.92,3.2441830795326334,3.146509637216508,37
N1([C@@H](c2ccc(Cl)cc2)c2ccccc2)CCN(C[C@@H](CSc2c3c([nH]cn3)ncn2)O)CC1,0.84,3.403652060496396,3.7341287035292456,70
n1(c2n(c(cc(n2)=O)C)c2c1cccc2)c1cc(c(OC(C)=O)c(c1)C(C)(C)C)C(C)(C)C,0.65,2.9089824455709814,3.9544287573456387,67
c12c(c(ccc1NCCCO)C#N)nccc2,0.92,2.2517290622173216,2.8664798456225715,26
c12c(N3CCCC3)ccc(c1nccc2)C(N)=O,0.84,1.9926577336842224,3.635941235299641,31
c1([C@@H]2C3CCN(C2)CC3)nc(co1)C,0.5947751190274408,4.05354967158919,3.421048720266591,31
C=1(c2cnc(o2)C)C[N@@](CCC1)C,0.6499927595603264,3.0118106439797203,3.6373713738765066,28
N12[C@@H](S(=O)(=O)C([C@@H]1C(CC)=O)(C)C)[C@H](Br)C2=O,0.5534812426129774,4.4174924016756965,3.006148270629459,54
c12n3c(=O)[nH]c2cccc1C[N@@](CCC=C)[C@@H](C3)C,0.6428857450990766,3.3709058605977225,3.9656359588873857,45
c1(c2ccccc2)cc(OC[C@@H](CN2CCOCC2)O)no1,0.65,2.6984164872777114,4.277445324591467,39
C1[C@@H](CCCCCCCCCCOC(CCCO[P@@](O1)(=O)O)=O)[N+](C)(C)C,0.557120866383478,4.388315077753837,4.00505166995441,55
c1(c2[nH]ccn2)nc(c[nH]1)C#N,0.92,3.6136409020671776,2.7278377812594052,27
c12c(cc(oc1=O)OC)ccc(c2)NC(N)=[NH2+],0.6483192482535696,3.1799143723479206,2.9916273284662656,36
n12c(c3c(ccc(c3)C)nc2CCN2CCCC2)nc2c1cccc2,0.65,2.217992608318013,4.522101193112904,41
c1([C@H]2[C@H](C(N(CCN(C)C)c3c(S2)cc(C)c(c3)C)=O)OC(OCC)=O)ccc(OC)cc1,0.6406488776680928,3.4255771529474077,4.467981795971656,69
C12(c3nc(no3)N)CN(CC1)CC2,0.5898319548780907,4.101858248446576,3.4663510502347283,25
N12[C@@H]([C@@H](NC(\C(c3csc(n3)N)=N/OC(C(O)=O)(C)C)=O)C2=O)SCC(=C1C(O)=O)CNC(c1c(cc(O)c(c1)O)\C=N/OCc1ccccc1)=O,0.5610247279478469,4.356543368913214,4.966280219113483,112
c1(C=2[C@@H](CC(=O)NN2)C)ccc(Oc2cccnc2)cc1,0.84,2.7787638414145803,3.828383555489227,42
C([C@@H]1C(NC(CC1)=O)=O)c1ccc(cc1)Cl,0.92,2.5059715462676917,2.880500521693362,36
N1([C@@H]([C@H](CN([C@@H](CC)C)[C@@H](CC)C)O)CCC1=O)Cc1ccc(Br)cc1,0.6184139517662864,3.7890826482301097,3.5283246862830113,65
C1[C@H](C[C@H](C(O)=O)N)[C@@H]1C(O)=O,0.6356529534233571,3.5282499364971747,2.794717365969934,37
c1(c(cc(C(N(C)C)=O)cc1O)C=O)C(c1c(cccc1O)O)=O,0.65,2.640408525143864,3.2075638830217237,45
c12c(C(NCC2)=O)cccc1C,0.92,2.1704596609553484,2.6747102263497795,21
N12C(C(O[C@@H]([C@H](C=CC(NCC=CC(=CC=C[C@@H](Cc3nc(C1=O)co3)O)C)=O)C)C(C)C)=O)=CCC2,0.3146439817208086,6.011453734861159,4.141752448375038,83
C1[C@@H](CC=C([C@@H]1O)CS)C(C)(C)O,0.5573435203166912,4.3865013063174985,2.8905936905324845,34
C1[C@@]2(CCC[N@@]1CC2)\C=N\OC,0.4723743864892101,4.997512303697278,3.0039978376213012,29
